Func_id	Func_name	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
KO:K00037	3-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.50]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00038	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	2104	2644	2206	2039	1417	1347	1252	758	846	840	4019	1614
KO:K00039	ribitol 2-dehydrogenase [EC:1.1.1.56]	122	156	138	219	145	193	43	36	33	26	160	102
KO:K00040	fructuronate reductase [EC:1.1.1.57]	563	586	445	783	420	429	628	229	182	158	737	525
KO:K00041	tagaturonate reductase [EC:1.1.1.58]	159	217	216	301	311	211	248	114	154	159	495	330
KO:K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	3620	4277	4958	4260	3169	3303	8182	4221	4128	2971	8857	4186
KO:K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	92	86	62	82	48	105	219	37	10	37	99	245
KO:K00044	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	653	611	522	751	359	333	569	104	160	154	664	573
KO:K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	6443	6482	6239	6334	4283	4479	9545	5405	5091	4069	9959	5441
KO:K00048	lactaldehyde reductase [EC:1.1.1.77]	85	84	60	25	31	18	12	14	53	49	160	58
KO:K00049	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00050	hydroxypyruvate reductase [EC:1.1.1.81]	3667	4856	4869	5808	3750	4102	7950	4728	4171	3488	8250	3209
KO:K00051	malate dehydrogenase (NADP+) [EC:1.1.1.82]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	8778	11011	12524	11661	8054	9508	13233	9512	9174	7052	20621	10376
KO:K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	7173	8635	8417	8653	6361	6280	12259	6672	7234	5517	13902	8695
KO:K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	445	404	359	536	551	368	2755	685	1600	1281	1096	561
KO:K00055	aryl-alcohol dehydrogenase [EC:1.1.1.90]	696	1068	611	980	591	467	1201	429	456	333	1645	366
KO:K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	5892	7233	6099	6713	5287	5156	6560	4576	4401	3990	12980	6410
KO:K00058	D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]	17221	22424	21205	20897	16414	17900	26877	17226	14882	12416	38607	20277
KO:K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	53391	66546	61502	61171	48765	45812	83754	45618	53156	38558	123237	54908
KO:K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	4211	4690	5256	5131	3695	3821	6344	4612	4419	2943	7615	3521
KO:K00061	11-cis-retinol dehydrogenase [EC:1.1.1.315]	0	4	0	0	0	0	0	0	0	0	0	0
KO:K00062	D-arabinose 1-dehydrogenase [EC:1.1.1.116]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00063	D-arabinose 1-dehydrogenase [EC:1.1.1.117]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00064	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	2760	2071	1964	2703	2028	1962	4244	2344	1883	1247	3658	1219
KO:K00065	2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125]	4072	4587	4070	3671	4474	3195	8398	4042	3740	3128	9409	3549
KO:K00066	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	1484	2121	2511	2279	1305	1560	3761	2584	2472	1472	4555	2227
KO:K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	5057	6937	6368	6231	5131	5026	13272	6547	7259	5214	15448	5328
KO:K00068	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	159	173	108	130	199	134	295	604	322	235	819	169
KO:K00069	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00070	3beta-hydroxy-delta5-steroid dehydrogenase / steroid delta-isomerase [EC:1.1.1.145 5.3.3.1]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00071	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00072	sepiapterin reductase [EC:1.1.1.153]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00073	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	211	326	192	206	163	134	226	136	254	154	830	302
KO:K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	11112	13061	14043	12401	8555	9861	14652	8897	11948	8707	26025	12996
KO:K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	5575	6852	7033	7085	5040	5932	8912	5467	5850	4761	14048	5989
KO:K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	685	806	603	722	464	470	556	329	638	519	1441	848
KO:K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	10378	12432	13783	12004	9283	9662	10979	8041	6955	6119	22681	11191
KO:K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	0	5	0	0	0	0	0	0	0	0	0	0
KO:K00079	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]	82	87	85	45	56	60	3	39	37	36	175	97
KO:K00081	carbonyl reductase 2 [EC:1.1.1.184]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00082	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	1741	1358	1402	1064	838	837	2453	874	1919	929	3873	1221
KO:K00083	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00084	carbonyl reductase 3 [EC:1.1.1.184]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00085	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00086	"1,3-propanediol dehydrogenase [EC:1.1.1.202]"	50	76	41	28	38	41	613	25	176	65	158	47
KO:K00087	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	1647	2318	2819	1881	1504	1601	4591	1257	2121	1127	4777	2755
KO:K00088	IMP dehydrogenase [EC:1.1.1.205]	10980	12298	13089	12767	8688	9662	17312	7075	11060	7617	20071	14358
KO:K00089	3alpha-hydroxysteroid dehydrogenase (A-specific) [EC:1.1.1.213]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00090	gluconate 2-dehydrogenase [EC:1.1.1.215]	354	290	417	261	238	445	1159	482	352	181	432	422
KO:K00091	dihydroflavonol-4-reductase [EC:1.1.1.219]	5799	7748	6889	8330	5834	5270	8741	6830	6231	5041	11859	4059
KO:K00092	chlordecone reductase [EC:1.1.1.225]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00093	methanol dehydrogenase [EC:1.1.1.244]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00094	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	14	12	12	17	3	0	0	18	4	12	18	0
KO:K00095	mannitol dehydrogenase [EC:1.1.1.255]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00096	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	741	369	404	433	463	351	3728	623	1689	762	1437	525
KO:K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	2910	3984	3239	3911	3694	3567	7006	3084	3143	3208	8677	4396
KO:K00098	L-idonate 5-dehydrogenase [EC:1.1.1.264]	258	253	283	297	246	197	376	143	68	83	389	609
KO:K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	6313	8311	8046	8269	5812	6006	8463	5057	5816	4649	14083	7867
KO:K00100		11965	15844	13812	14934	13213	12439	12373	7510	8167	7073	24336	15984
KO:K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	4229	5905	5347	5939	3736	3961	6774	2472	2245	2162	7626	4568
KO:K00102	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	3148	4403	4204	4516	3726	3531	3733	2746	1864	2502	6972	4464
KO:K00103	L-gulonolactone oxidase [EC:1.1.3.8]	762	802	548	622	519	434	1151	129	379	194	1235	629
KO:K00104	glycolate oxidase [EC:1.1.3.15]	11658	15376	14832	14394	10802	10611	26527	11377	13718	9558	23882	14418
KO:K00105	alpha-glycerophosphate oxidase [EC:1.1.3.21]	19	9	13	0	7	16	4	3	4	7	6	12
KO:K00106	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	171	105	471	52	169	104	10	37	3	59	409	144
KO:K00107	"D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]"	30	45	6	86	105	8	3	7	3	0	40	22
KO:K00108	choline dehydrogenase [EC:1.1.99.1]	11063	16878	14150	14890	12609	9174	9848	6514	3400	6008	18296	10639
KO:K00109	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	565	369	318	258	249	257	2165	419	651	276	1239	450
KO:K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	9018	9439	9962	9599	6437	7304	13333	6774	7674	6207	15733	8570
KO:K00112	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	448	173	299	188	125	163	294	89	273	60	547	148
KO:K00113	glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	920	1096	1084	1089	912	1005	1442	1039	734	1020	2149	727
KO:K00114	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	15747	32993	31379	35759	22461	23223	22287	17258	13556	12025	27779	29554
KO:K00115	glucose dehydrogenase (acceptor) [EC:1.1.5.9]	18	98	58	45	38	20	3	3	4	7	15	77
KO:K00116	malate dehydrogenase (quinone) [EC:1.1.5.4]	183	332	333	319	201	282	2723	248	175	89	401	203
KO:K00117	quinoprotein glucose dehydrogenase [EC:1.1.5.2]	11666	21365	20668	24376	15666	16539	11270	10006	9028	6445	19028	29340
KO:K00118	glucose-fructose oxidoreductase [EC:1.1.99.28]	1603	1872	2182	1551	1475	1605	2351	2207	1900	1057	3625	1798
KO:K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	8234	11835	10432	10138	7813	6917	10901	4713	5927	4824	18047	10277
KO:K00122	formate dehydrogenase [EC:1.2.1.2]	2206	3712	3322	3631	2198	2370	2894	1423	960	1936	5796	4435
KO:K00123	formate dehydrogenase major subunit [EC:1.2.1.2]	21180	24225	27983	23551	16514	17470	16976	11382	14534	10407	39805	23409
KO:K00124	formate dehydrogenase iron-sulfur subunit	5450	6549	7684	6520	5222	4817	4651	5291	4849	3486	13489	5567
KO:K00125	"formate dehydrogenase, beta subunit [EC:1.2.1.2]"	0	0	0	0	0	0	0	0	0	3	0	0
KO:K00126	formate dehydrogenase subunit delta [EC:1.2.1.2]	426	526	372	779	783	416	453	777	191	502	497	183
KO:K00127	formate dehydrogenase subunit gamma	2440	3479	2933	2866	2319	1996	1400	1859	1405	1376	4908	1940
KO:K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	26387	34402	31555	33408	21129	21601	24792	14532	17277	13799	43785	30021
KO:K00129	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]	628	325	507	560	347	404	714	474	583	647	793	190
KO:K00130	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	8978	11353	10216	10801	6732	6415	10514	4375	5834	4224	14765	10999
KO:K00131	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	1390	1515	2075	2054	1062	1559	2130	1459	1972	1344	3208	1465
KO:K00132	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	164	399	431	378	229	290	38	27	57	36	1350	1017
KO:K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	8535	11569	11424	11592	8555	8537	14344	8664	8654	7246	17679	9259
KO:K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	8418	10188	10454	10225	7949	8438	12178	6977	7847	6085	18034	11628
KO:K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	14820	15756	15331	15493	11226	11503	17274	8726	9512	7266	24815	14258
KO:K00137	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	370	1100	678	692	430	471	633	145	549	276	2072	1579
KO:K00138	aldehyde dehydrogenase [EC:1.2.1.-]	1690	1691	1573	2228	1307	963	1077	308	535	505	1427	1485
KO:K00139	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	7373	9392	9480	9385	7026	6911	8797	4480	6829	4331	13327	10016
KO:K00141	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]	1051	1161	704	1245	620	610	2393	260	286	185	963	687
KO:K00142	acyl-CoA synthetase [EC:6.2.1.-]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00143	L-aminoadipate-semialdehyde dehydrogenase [EC:1.2.1.31]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	6420	7706	7364	7557	5702	5535	10778	5756	5839	5019	13778	6314
KO:K00146	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]	3117	5130	4911	5188	2819	2947	2509	3270	1906	2090	3970	2787
KO:K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	4348	6132	5478	5792	4309	4235	4358	4561	2768	3522	10193	4818
KO:K00148	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	1251	1961	1389	1807	1295	1150	2548	1285	1206	830	1800	545
KO:K00149	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00150	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	141	67	172	185	171	200	2175	403	1176	520	1253	382
KO:K00151	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]	1145	1464	1116	1551	952	852	1188	526	935	412	1682	1025
KO:K00152	salicylaldehyde dehydrogenase [EC:1.2.1.65]	0	0	0	0	4	0	0	0	0	0	0	5
KO:K00153	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]	1186	1579	996	932	597	715	1974	290	1137	530	2450	1470
KO:K00154	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	835	1047	990	1158	890	591	522	236	275	267	1015	939
KO:K00156	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	5659	7836	4744	6497	5033	5074	9879	2861	6503	3052	12619	2349
KO:K00157	aldehyde oxidase [EC:1.2.3.1]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00158	pyruvate oxidase [EC:1.2.3.3]	920	1012	1791	662	1124	1625	1325	1312	2354	1566	4909	376
KO:K00161	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	12486	14143	13616	12731	10032	10097	22937	13435	16045	10464	30147	14059
KO:K00162	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	11535	13351	13075	12090	9098	9439	19578	9832	11794	8784	26785	12560
KO:K00163	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	10924	14462	14516	15331	9451	10336	18172	6280	6605	5859	17243	15574
KO:K00164	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	13781	19364	18397	19050	13027	14758	20920	8873	11777	8363	26533	19105
KO:K00166	2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]	3951	3818	5067	3745	2705	3345	2991	2799	3761	2132	6559	2882
KO:K00167	2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	5010	5449	6895	5060	3534	4567	5735	4911	5975	3442	10296	6055
KO:K00169	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	1425	1481	2192	1598	951	1137	2319	931	1531	903	3048	1396
KO:K00170	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	1045	1145	1851	1271	797	1011	2458	927	1528	880	2779	1372
KO:K00171	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	239	262	845	345	245	340	490	301	613	176	606	302
KO:K00172	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	634	734	724	635	487	512	1660	421	886	682	2441	670
KO:K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	12075	14243	17569	15111	10135	11673	17725	8398	11238	7361	21981	15659
KO:K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	7544	9693	11096	9879	6903	7591	14649	7936	9646	5669	16618	9684
KO:K00176	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	380	821	1021	613	657	644	234	1662	467	477	2069	191
KO:K00177	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	401	681	916	441	491	517	261	941	505	289	960	227
KO:K00179	"indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]"	1403	2041	1845	1777	1294	1329	772	913	682	832	2323	2132
KO:K00180	"indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]"	766	1192	1034	1030	745	846	651	724	617	529	1618	1054
KO:K00181	porcupine	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00182	"wingless-type MMTV integration site family, member 2"	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00183	"prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit"	46	68	105	63	25	45	252	83	57	111	289	33
KO:K00184	"prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit"	8265	11230	11977	11646	8480	9509	10611	9566	7639	6901	19824	11428
KO:K00185	"prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit"	5267	7492	8208	7672	5769	6262	6195	6315	5835	5728	13829	8450
KO:K00186	"2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]"	407	708	1387	675	766	737	63	881	286	355	2104	201
KO:K00187	"2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]"	474	859	1706	747	780	887	34	894	319	361	2101	259
KO:K00188	"2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]"	5	0	0	3	108	0	19	5	0	3	9	0
KO:K00189	"2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7]"	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00192	acetyl-CoA decarbonylase/synthase complex subunit alpha [EC:1.2.7.4]	0	4	0	0	0	0	0	0	4	0	4	0
KO:K00193	acetyl-CoA decarbonylase/synthase complex subunit beta [EC:2.3.1.-]	0	0	0	0	0	0	0	0	0	0	0	0
