Module Description	Completeness	T Statistic	T Degrees Freedom	T-test p value	Pearson's Rho	Pearson Degrees Freedom	Pearson p value
M00616	Sulfate-sulfur assimilation	0.812	5.863	9.144	0	0.795	10	0.002
M00668	Tetracycline resistance, TetA transporter	0.5	4.104	8.295	0.003	0.542	10	0.069
M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	0.7	4.057	5.763	0.007	0.73	10	0.007
M00018	Threonine biosynthesis, aspartate => homoserine => threonine	0.833	4.19	5.362	0.007	0.846	10	0.001
M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	1	5.351	9.128	0	0.679	10	0.015
M00023	Tryptophan biosynthesis, chorismate => tryptophan	0.688	4.802	5.73	0.003	0.847	10	0.001
M00186	Tungstate transport system	1	4.063	5.839	0.007	0.393	10	0.206
M00336	Twin-arginine translocation (Tat) system	1	4.91	7.796	0.001	0.809	10	0.001
M00331	Type II general secretion pathway	1	3.053	5.748	0.024	0.481	10	0.114
M00117	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	0.818	4.979	5.314	0.004	0.755	10	0.005
M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	1	2.541	9.824	0.03	0.429	10	0.165
M00029	Urea cycle	0.833	3.295	5.575	0.018	0.75	10	0.005
M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	0.812	3.893	5.445	0.01	0.83	10	0.001
M00159	V/A-type ATPase, prokaryotes	1	3.122	5.018	0.026	0.893	10	0
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	1	4.339	6.144	0.005	0.829	10	0.001
M00480	VraS-VraR (cell-wall peptidoglycan synthesis) two-component regulatory system	1	-2.837	5.246	0.034	-0.56	10	0.058
M00509	WspE-WspRF (chemosensory) two-component regulatory system	1	-2.486	9.016	0.035	-0.739	10	0.006
M00484	YdfH-YdfI two-component regulatory system	1	3.846	7.685	0.005	0.761	10	0.004
M00519	YesM-YesN two-component regulatory system	1	3.453	9.462	0.007	0.736	10	0.006
M00242	Zinc transport system	1	3.376	6.698	0.013	0.548	10	0.065
M00219	AI-2 transport system	1	0.485	5.423	0.647	0.61	10	0.035
M00597	Anoxygenic photosystem II	1	2.229	5.321	0.073	0.59	10	0.043
M00343	Archaeal proteasome	1	2.325	5.178	0.066	0.883	10	0
M00235	Arginine/ornithine transport system	1	-1.984	6.8	0.089	-0.582	10	0.047
M00550	Ascorbate degradation, ascorbate => D-xylulose-5P	1	2.112	5.45	0.084	0.62	10	0.032
M00342	Bacterial proteasome	1	1.947	5.468	0.104	0.835	10	0.001
M00548	Benzene degradation, benzene => catechol	1	2.026	5.49	0.094	0.694	10	0.012
M00627	beta-Lactam resistance, Bla system	0.75	-1.071	9.671	0.31	-0.647	10	0.023
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	0.333	2.209	8.895	0.055	0.606	10	0.037
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	0.5	-0.961	6.796	0.369	-0.6	10	0.039
M00722	Cationic antimicrobial peptide (CAMP) resistance,  phosphoethanolamine transferase PmrC	1	-2.093	9.733	0.064	-0.729	10	0.007
M00256	Cell division transport system	1	2.22	6.232	0.067	0.597	10	0.04
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	0.735	2.217	6.784	0.063	0.579	10	0.048
M00510	Cph1-Rcp1 (light response) two-component regulatory system	1	2.475	5.556	0.051	0.799	10	0.002
M00609	Cysteine biosynthesis, methionine => cysteine	1	1.477	5.157	0.198	0.609	10	0.035
M00416	Cytochrome aa3-600 menaquinol oxidase	1	1.535	5.259	0.183	0.691	10	0.013
M00162	Cytochrome b6f complex	0.75	1.411	5.145	0.216	0.682	10	0.015
M00153	Cytochrome d ubiquinol oxidase	1	2.429	5.767	0.053	0.777	10	0.003
M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	0.875	-1.483	9.987	0.169	-0.636	10	0.026
M00479	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system	1	1.736	9.999	0.113	0.663	10	0.019
M00482	DevS-DevR (redox response) two-component regulatory system	1	1.657	8.49	0.134	0.591	10	0.043
M00033	Ectoine biosynthesis, aspartate => ectoine	1	1.853	7.401	0.104	0.609	10	0.036
M00582	Energy-coupling factor transport system	1	2.139	9.042	0.061	0.666	10	0.018
M00027	GABA (gamma-Aminobutyrate) shunt	0.857	2.007	7.541	0.082	0.62	10	0.032
M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	1	-2.264	7.841	0.054	-0.738	10	0.006
M00203	Glucose/arabinose transport system	1	1.104	5	0.32	0.736	10	0.006
M00230	Glutamate/aspartate transport system	1	-1.706	7.011	0.132	-0.761	10	0.004
M00607	Glycerol transport system	1	-1.068	8.445	0.315	-0.643	10	0.024
M00208	Glycine betaine/proline transport system	1	-1.297	7.784	0.232	-0.638	10	0.026
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.867	2.117	7.217	0.071	0.795	10	0.002
M00328	Hemophore/metalloprotease transport system	1	-1.997	9.816	0.074	-0.658	10	0.02
M00662	Hk1-Rrp1 (glycerol uptake and utilization) two-component regulatory system	0.5	-1.329	7.62	0.222	-0.755	10	0.005
M00403	HRD1/SEL1 ERAD complex	0.182	2.505	5.337	0.051	0.914	10	0
M00113	Jasmonic acid biosynthesis	0.444	2.047	7.598	0.077	0.714	10	0.009
M00490	MalK-MalR (malate transport) two-component regulatory system	1	2.229	5.044	0.076	0.621	10	0.031
M00423	Molybdate/tungstate transport system	1	2.168	5.104	0.081	0.882	10	0
M00641	Multidrug resistance, efflux pump MexEF-OprN	1	-0.528	7.282	0.613	-0.584	10	0.046
M00717	Multidrug resistance, efflux pump NorA	0.25	2.279	8.294	0.051	0.63	10	0.028
M00216	Multiple sugar transport system	1	-1.142	6.719	0.293	-0.705	10	0.011
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	1	1.424	5.026	0.214	0.714	10	0.009
M00400	p97-Ufd1-Npl4 complex	0.333	2.504	5.334	0.051	0.914	10	0
M00081	Pectin degradation	1	2.449	5.902	0.051	0.746	10	0.005
M00672	Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin	1	-1.678	8.72	0.129	-0.631	10	0.028
M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	0.8	2.455	5.191	0.056	0.635	10	0.027
M00163	Photosystem I	1	1.687	5.141	0.151	0.6	10	0.039
M00161	Photosystem II	1	1.548	5.19	0.18	0.622	10	0.031
M00623	Phthalate degradation, phthalate => protocatechuate	1	2.101	5.094	0.089	0.795	10	0.002
M00283	PTS system, ascorbate-specific II component	1	1.751	5.379	0.136	0.599	10	0.04
M00591	Putative xylitol transport system	1	-2.206	6.379	0.067	-0.588	10	0.045
M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	0.625	2.119	8.795	0.064	0.639	10	0.025
M00177	Ribosome, eukaryotes	0.671	2.322	5.002	0.068	0.928	10	0
M00182	RNA polymerase I, eukaryotes	0.071	2.531	5.006	0.052	0.95	10	0
M00180	RNA polymerase II, eukaryotes	0.083	2.531	5.006	0.052	0.95	10	0
M00181	RNA polymerase III, eukaryotes	0.062	2.531	5.006	0.052	0.95	10	0
M00446	RstB-RstA two-component regulatory system	1	-2.211	7.683	0.059	-0.862	10	0
M00401	Sec61 complex	0.333	2.462	5.001	0.057	0.693	10	0.012
M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	0.8	2.393	5.105	0.061	0.83	10	0.001
M00436	Sulfonate transport system	1	1.621	5.386	0.162	0.621	10	0.031
M00435	Taurine transport system	1	2.15	5.138	0.083	0.759	10	0.004
M00251	Teichoic acid transport system	1	-1.566	7.505	0.159	-0.578	10	0.049
M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	1	2.17	6.595	0.069	0.63	10	0.028
M00604	Trehalose transport system	1	2.155	5.037	0.083	0.883	10	0
M00204	Trehalose/maltose transport system	1	-1.022	8.508	0.335	-0.597	10	0.04
